demand_00000_Summer,demand_00000_Autumn,demand_00000_Winter,demand_00000_Spring
demand_00001_Summer,demand_00001_Autumn,demand_00001_Winter,demand_00001_Spring
demand_00010_Summer,demand_00010_Autumn,demand_00010_Winter,demand_00010_Spring
demand_00011_Summer,demand_00011_Autumn,demand_00011_Winter,demand_00011_Spring
demand_00100_Summer,demand_00100_Autumn,demand_00100_Winter,demand_00100_Spring
demand_00101_Summer,demand_00101_Autumn,demand_00101_Winter,demand_00101_Spring
demand_00110_Summer,demand_00110_Autumn,demand_00110_Winter,demand_00110_Spring
demand_00111_Summer,demand_00111_Autumn,demand_00111_Winter,demand_00111_Spring
demand_01000_Summer,demand_01000_Autumn,demand_01000_Winter,demand_01000_Spring
demand_01001_Summer,demand_01001_Autumn,demand_01001_Winter,demand_01001_Spring
demand_01010_Summer,demand_01010_Autumn,demand_01010_Winter,demand_01010_Spring
demand_01011_Summer,demand_01011_Autumn,demand_01011_Winter,demand_01011_Spring
demand_01100_Summer,demand_01100_Autumn,demand_01100_Winter,demand_01100_Spring
demand_01101_Summer,demand_01101_Autumn,demand_01101_Winter,demand_01101_Spring
demand_01110_Summer,demand_01110_Autumn,demand_01110_Winter,demand_01110_Spring
demand_01111_Summer,demand_01111_Autumn,demand_01111_Winter,demand_01111_Spring
demand_10000_Summer,demand_10000_Autumn,demand_10000_Winter,demand_10000_Spring
demand_10001_Summer,demand_10001_Autumn,demand_10001_Winter,demand_10001_Spring
demand_10010_Summer,demand_10010_Autumn,demand_10010_Winter,demand_10010_Spring
demand_10011_Summer,demand_10011_Autumn,demand_10011_Winter,demand_10011_Spring
demand_10100_Summer,demand_10100_Autumn,demand_10100_Winter,demand_10100_Spring
demand_10101_Summer,demand_10101_Autumn,demand_10101_Winter,demand_10101_Spring
demand_10110_Summer,demand_10110_Autumn,demand_10110_Winter,demand_10110_Spring
demand_10111_Summer,demand_10111_Autumn,demand_10111_Winter,demand_10111_Spring
demand_11000_Summer,demand_11000_Autumn,demand_11000_Winter,demand_11000_Spring
demand_11001_Summer,demand_11001_Autumn,demand_11001_Winter,demand_11001_Spring
demand_11010_Summer,demand_11010_Autumn,demand_11010_Winter,demand_11010_Spring
demand_11011_Summer,demand_11011_Autumn,demand_11011_Winter,demand_11011_Spring
demand_11100_Summer,demand_11100_Autumn,demand_11100_Winter,demand_11100_Spring
demand_11101_Summer,demand_11101_Autumn,demand_11101_Winter,demand_11101_Spring
demand_11110_Summer,demand_11110_Autumn,demand_11110_Winter,demand_11110_Spring
demand_11111_Summer,demand_11111_Autumn,demand_11111_Winter,demand_11111_Spring
