1.0,293.0,700.0,1119.0,1636.0,2193.0,2684.0,3052.0,3431.0,3868.0,4416.0
1.0,287.0,628.0,999.0,1421.0,1895.0,2368.0,2838.0,3283.0,3892.0,4416.0
1.0,272.0,608.0,1052.0,1561.0,2024.0,2561.0,3060.0,3503.0,3985.0,4416.0
1.0,208.0,510.0,946.0,1398.0,1828.0,2355.0,2900.0,3465.0,3985.0,4416.0
1.0,324.0,744.0,1228.0,1758.0,2317.0,2770.0,3171.0,3620.0,4078.0,4416.0
1.0,208.0,531.0,915.0,1397.0,1894.0,2441.0,2925.0,3460.0,4006.0,4416.0
1.0,242.0,582.0,1006.0,1463.0,1948.0,2417.0,2920.0,3426.0,3976.0,4416.0
1.0,180.0,543.0,893.0,1295.0,1777.0,2303.0,2783.0,3226.0,3848.0,4416.0
1.0,235.0,512.0,908.0,1429.0,1957.0,2454.0,2936.0,3377.0,3947.0,4416.0
1.0,296.0,688.0,1167.0,1662.0,2164.0,2612.0,2968.0,3472.0,3963.0,4416.0
1.0,256.0,593.0,1050.0,1528.0,2025.0,2585.0,3103.0,3561.0,4086.0,4416.0
1.0,194.0,482.0,900.0,1443.0,1968.0,2568.0,3117.0,3618.0,4060.0,4416.0
1.0,206.0,504.0,928.0,1439.0,1990.0,2537.0,3091.0,3590.0,4102.0,4416.0
1.0,264.0,659.0,1058.0,1568.0,2092.0,2606.0,3161.0,3596.0,4025.0,4416.0
1.0,168.0,441.0,839.0,1303.0,1814.0,2368.0,2989.0,3515.0,4067.0,4416.0
1.0,180.0,488.0,889.0,1293.0,1737.0,2328.0,2886.0,3483.0,3965.0,4416.0
1.0,239.0,552.0,933.0,1400.0,1936.0,2478.0,3053.0,3569.0,4041.0,4416.0
1.0,243.0,582.0,1043.0,1528.0,2029.0,2600.0,3076.0,3563.0,4035.0,4416.0
1.0,241.0,525.0,1001.0,1486.0,1941.0,2434.0,2988.0,3520.0,4052.0,4416.0
1.0,269.0,644.0,1019.0,1406.0,1854.0,2443.0,2988.0,3521.0,4049.0,4416.0
1.0,259.0,560.0,927.0,1358.0,1892.0,2487.0,2986.0,3558.0,4088.0,4416.0
1.0,275.0,627.0,997.0,1489.0,1937.0,2407.0,2895.0,3362.0,3863.0,4416.0
1.0,187.0,457.0,805.0,1246.0,1720.0,2339.0,2899.0,3457.0,4032.0,4416.0
1.0,197.0,541.0,960.0,1344.0,1769.0,2288.0,2892.0,3447.0,3975.0,4416.0
1.0,219.0,495.0,871.0,1332.0,1861.0,2388.0,2929.0,3569.0,4017.0,4416.0
1.0,220.0,509.0,865.0,1309.0,1774.0,2277.0,2851.0,3433.0,3967.0,4416.0
1.0,227.0,535.0,987.0,1475.0,1935.0,2537.0,3092.0,3608.0,4125.0,4416.0
1.0,284.0,717.0,1164.0,1553.0,2016.0,2586.0,3123.0,3650.0,4105.0,4416.0
1.0,258.0,595.0,995.0,1477.0,2063.0,2610.0,3132.0,3705.0,4106.0,4416.0
1.0,180.0,490.0,838.0,1320.0,1790.0,2312.0,2896.0,3485.0,3995.0,4416.0
1.0,181.0,429.0,749.0,1151.0,1608.0,2225.0,2865.0,3543.0,4062.0,4416.0
1.0,169.0,442.0,790.0,1171.0,1592.0,2207.0,2830.0,3422.0,3958.0,4416.0
